Anbudsdag;Instrument;Lån;ISIN;Kupong (%);Förfallodag;Erbjuden volym (Mkr);Budvolym (Mkr);Tilldelad volym (Mkr);Antal bud;Antal godkända bud;Genomsnittlig ränta (%);Lägsta ränta (%);Högst accepterade ränta (%);Tilldelning till högsta ränta (%)
2023-04-14;SGB IL;3104;SE0000556599;3.5;2028-12-01;100 +/- 100;130;50;6;1;0.5;0.5;0.5;100.0
2023-04-14;SGB IL;3111;SE0007045745;0.125;2032-06-01;150 +/- 150;355;200;8;3;0.589;0.58;0.635;100.0
2023-04-28;SGB IL;3111;SE0007045745;0.125;2032-06-01;150 +/- 150;1075;150;17;2;0.729;0.728;0.73;66.67
2023-04-28;SGB IL;3114;SE0013748258;0.125;2030-06-01;100 +/- 100;550;100;11;2;0.741;0.73;0.775;50.0
2023-05-12;SGB IL;3104;SE0000556599;3.5;2028-12-01;100 +/- 100;475;100;9;1;0.523;0.523;0.523;100.0
2023-05-12;SGB IL;3113;SE0009548704;0.125;2027-12-01;150 +/- 150;875;150;15;1;0.538;0.538;0.538;100.0
2023-05-26;SGB IL;3111;SE0007045745;0.125;2032-06-01;100 +/- 100;350;100;8;1;0.53;0.53;0.53;100.0
2023-05-26;SGB IL;3114;SE0013748258;0.125;2030-06-01;150 +/- 150;600;150;9;2;0.53;0.52;0.535;66.67
2023-06-09;SGB IL;3104;SE0000556599;3.5;2028-12-01;100 +/- 100;246;100;7;4;0.686;0.659;0.705;68.0
2023-06-09;SGB IL;3114;SE0013748258;0.125;2030-06-01;150 +/- 150;380;150;9;5;0.673;0.637;0.697;100.0
2023-06-30;SGB IL;3104;SE0000556599;3.5;2028-12-01;150 +/- 150;340;150;6;3;0.963;0.94;0.99;50.0
2023-06-30;SGB IL;3114;SE0013748258;0.125;2030-06-01;100 +/- 100;305;100;8;5;0.895;0.88;0.914;5.0
2023-09-15;SGB IL;3104;SE0000556599;3.5;2028-12-01;150 +/- 150;260;150;6;3;1.221;1.187;1.245;100.0
2023-09-15;SGB IL;3112;SE0008014062;0.125;2026-06-01;250 +/- 250;865;250;8;1;1.329;1.329;1.329;100.0
2023-09-29;SGB IL;3111;SE0007045745;0.125;2032-06-01;250 +/- 250;235;200;9;7;1.235;1.2;1.26;100.0
2023-09-29;SGB IL;3114;SE0013748258;0.125;2030-06-01;150 +/- 150;210;125;8;5;1.271;1.255;1.285;100.0
2023-10-13;SGB IL;3104;SE0000556599;3.5;2028-12-01;150 +/- 150;425;150;10;4;1.286;1.278;1.3;50.0
2023-10-13;SGB IL;3111;SE0007045745;0.125;2032-06-01;250 +/- 250;1285;250;20;3;1.23;1.222;1.242;100.0
2023-10-27;SGB IL;3104;SE0000556599;3.5;2028-12-01;250 +/- 250;400;225;8;6;1.361;1.324;1.375;100.0
2023-10-27;SGB IL;3114;SE0013748258;0.125;2030-06-01;150 +/- 150;475;175;9;5;1.339;1.319;1.354;50.0
2023-11-10;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;525;200;8;4;1.38;1.371;1.388;25.0
2023-11-10;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;485;200;12;5;1.274;1.262;1.31;60.0
2023-11-24;SGB IL;3104;SE0000556599;3.5;2028-12-01;400 +/- 400;1810;400;29;1;1.249;1.249;1.249;100.0
2023-12-08;SGB IL;3113;SE0009548704;0.125;2027-12-01;300 +/- 300;780;300;9;1;0.898;0.898;0.898;100.0
2023-12-08;SGB IL;3114;SE0013748258;0.125;2030-06-01;300 +/- 300;620;300;8;1;0.823;0.823;0.823;100.0
2023-12-19;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;895;200;13;5;0.779;0.76;0.789;55.0
2024-01-19;SGB IL;3104;SE0000556599;3.5;2028-12-01;400 +/- 400;760;400;13;7;0.892;0.88;0.925;50.0
2024-01-19;SGB IL;3111;SE0007045745;0.125;2032-06-01;400 +/- 400;1040;400;19;9;0.734;0.718;0.75;20.0
2024-02-02;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;675;200;13;4;0.976;0.959;0.995;32.26
2024-02-02;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;310;125;8;3;0.794;0.785;0.8;100.0
2024-02-16;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;1070;200;15;5;1.023;1.009;1.035;50.0
2024-02-16;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;990;200;14;2;1.331;1.33;1.332;50.0
2024-03-01;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;700;200;11;2;1.223;1.219;1.224;75.0
2024-03-01;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;750;200;12;3;1.365;1.36;1.37;100.0
2024-03-15;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;955;200;18;4;1.154;1.149;1.16;50.0
2024-03-15;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;925;200;11;2;1.271;1.269;1.273;100.0
2024-04-12;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;790;200;13;3;1.122;1.11;1.127;62.5
2024-04-12;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;1120;200;22;6;0.952;0.942;0.956;20.0
2024-04-26;SGB IL;3104;SE0000556599;3.5;2028-12-01;400 +/- 400;1025;400;21;7;1.16;1.129;1.163;73.0
2024-05-10;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;450;200;5;2;1.093;1.09;1.094;75.0
2024-05-10;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;766;200;10;2;1.212;1.209;1.214;100.0
2024-05-24;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;450;200;10;4;1.165;1.158;1.167;60.0
2024-05-24;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;550;200;9;2;0.855;0.854;0.855;100.0
2024-06-07;SGB IL;3113;SE0009548704;0.125;2027-12-01;400 +/- 400;695;400;17;8;1.294;1.284;1.306;50.0
2024-06-07;SGB IL;3114;SE0013748258;0.125;2030-06-01;400 +/- 400;400;0;6;0;;;;
2024-09-13;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;690;200;21;6;0.608;0.602;0.615;100.0
2024-09-13;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;775;200;21;5;0.493;0.486;0.501;45.0
2024-09-27;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;1301;200;19;4;0.403;0.396;0.409;25.0
2024-09-27;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;870;200;12;1;0.719;0.719;0.719;100.0
2024-10-11;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;900;200;8;1;0.595;0.595;0.595;100.0
2024-10-11;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;1447;200;23;3;0.412;0.41;0.414;33.33
2024-10-25;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;720;200;15;3;0.433;0.43;0.437;100.0
2024-10-25;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;888;200;18;3;0.366;0.364;0.372;50.0
2024-11-08;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;1010;200;20;2;0.639;0.634;0.644;100.0
2024-11-08;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;800;200;21;2;0.464;0.459;0.469;100.0
2024-11-22;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;710;200;21;1;0.355;0.355;0.355;100.0
2024-11-22;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;860;200;30;1;0.49;0.49;0.49;100.0
2024-12-06;SGB IL;3104;SE0000556599;3.5;2028-12-01;400 +/- 400;965;400;22;20;0.476;0.441;0.5;35.0
2024-12-06;SGB IL;3111;SE0007045745;0.125;2032-06-01;400 +/- 400;660;400;17;13;0.345;0.321;0.355;20.0
2025-01-17;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;560;200;12;9;0.725;0.69;0.74;35.48
2025-01-17;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;720;200;17;4;0.598;0.59;0.604;90.0
2025-01-31;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;535;200;10;2;0.885;0.88;0.889;50.0
2025-01-31;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;465;200;11;3;0.643;0.64;0.644;82.5
2025-02-14;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;750;200;8;1;0.9;0.9;0.9;100.0
2025-02-14;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;575;200;8;2;0.72;0.71;0.73;100.0
2025-02-28;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;260;200;5;4;0.676;0.669;0.689;60.0
2025-02-28;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;950;200;9;2;0.91;0.909;0.91;50.0
2025-03-14;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;1005;200;12;1;0.867;0.867;0.867;100.0
2025-03-14;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;1550;200;20;2;0.861;0.859;0.863;100.0
2025-03-28;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;500;200;8;1;0.8;0.8;0.8;100.0
2025-03-28;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;900;200;10;1;0.949;0.949;0.949;100.0
2025-04-11;SGB IL;3113;SE0009548704;0.125;2027-12-01;400 +/- 400;1728;620;11;6;0.858;0.838;0.88;6.1
2025-04-11;SGB IL;3114;SE0013748258;0.125;2030-06-01;300 +/- 300;430;80;6;4;0.673;0.669;0.689;100.0
2025-04-11;SGB IL;3115;SE0016786560;0.125;2039-06-01;100 +/- 100;220;100;6;1;0.849;0.849;0.849;100.0
2025-05-09;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;685;200;15;1;0.76;0.76;0.76;100.0
2025-05-09;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;685;200;15;8;0.701;0.687;0.72;1.82
2025-05-23;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;855;200;14;2;0.735;0.734;0.735;92.5
2025-05-23;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;855;200;13;1;0.735;0.735;0.735;100.0
2025-06-13;SGB IL;3113;SE0009548704;0.125;2027-12-01;400 +/- 400;1400;400;18;7;1.013;1.01;1.03;33.33
2025-06-13;SGB IL;3114;SE0013748258;0.125;2030-06-01;400 +/- 400;1600;400;21;2;0.62;0.615;0.625;100.0
2025-09-12;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;450;200;6;1;0.835;0.835;0.835;100.0
2025-09-12;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;790;200;15;1;0.68;0.68;0.68;100.0
2025-09-26;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;910;200;18;1;0.845;0.845;0.845;100.0
2025-09-26;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;910;200;17;1;0.825;0.825;0.825;100.0
2025-10-10;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;415;200;8;6;0.929;0.91;0.94;70.0
2025-10-10;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;890;200;16;2;0.81;0.81;0.81;93.02
2025-10-24;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;400;0;4;0;0.0;0.0;0.0;0.0
2025-10-24;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;720;400;9;3;0.714;0.709;0.727;50.0
2025-11-07;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;205;55;8;3;0.952;0.95;0.961;100.0
2025-11-07;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;475;200;10;2;0.829;0.82;0.835;62.5
2025-11-21;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;490;270;12;8;0.853;0.845;0.864;40.0
2025-11-21;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;525;130;8;3;1.249;1.24;1.25;100.0
2025-12-05;SGB IL;3104;SE0000556599;3.5;2028-12-01;400 +/- 400;70;0;2;0;0.0;0.0;0.0;0.0
2025-12-05;SGB IL;3114;SE0013748258;0.125;2030-06-01;400 +/- 400;230;190;9;7;1.076;1.06;1.089;100.0
2026-01-16;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;260;0;9;0;;;;
2026-01-16;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;650;400;16;7;1.057;1.045;1.064;40.0
2026-01-30;SGB IL;3113;SE0009548704;0.125;2027-12-01;200 +/- 200;820;200;14;3;1.482;1.48;1.485;50.0
2026-01-30;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;1190;200;24;3;0.981;0.968;0.987;50.0
2026-02-13;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;415;200;8;4;1.123;1.115;1.127;75.0
2026-02-13;SGB IL;3114;SE0013748258;0.125;2030-06-01;200 +/- 200;750;200;15;4;0.909;0.903;0.913;100.0
2026-02-27;SGB IL;3104;SE0000556599;3.5;2028-12-01;200 +/- 200;640;200;12;1;1.12;1.12;1.12;100.0
2026-02-27;SGB IL;3111;SE0007045745;0.125;2032-06-01;200 +/- 200;620;200;11;1;0.88;0.88;0.88;100.0
